Cod_CP,Nome_CP,Nome_professione (vedi esempi),Annuncio
2.1.1.3.2,Statistici,IMPIEGATO STATISTICA E REPORTISTICA DI SETTORE,"La risorsa si occuperà di analisi dati statistici di settore, controllo costi e attività di monitoraggio per l’individuazione dei target di riferimento per successive campagne marketing e vendita servizi sul mercato privato.
Si richiede:
Laurea in materie statistiche, economiche o affini;
esperienza pregressa in attività statistiche, di reportistica o controllo di gestione;
la provenienza dal settore sanitario sarà considerato requisito preferenziale.
Inserimento con contratto iniziale in somministrazione finalizzato all’inserimento in azienda.
"
2.1.1.3.2,Statistici,Machine Learning Solution Manager,"Machine Learning Solution Manager:
Nell’ambito della Business Unit Analytics e Big Data il candidato sarà responsabile della practice di Machine Learning, svolgendo le seguenti attività:
Definire la strategia di sviluppo del competence center in coordinamento con il Business Unit Manager;
Progettare e sviluppare soluzioni di Machine Learning per i clienti;
Coordinare il team di Data Scientist;
Favorire l’integrazione di soluzioni di Machine Learning nell’ambito dei progetti di Analytics realizzati dalla Business Unit;
Supportare la Direzione Commerciale con attività di prevendita e sviluppo di soluzioni prototipali;
Coordinare le attività dei progetti di ricerca per le componenti di Machine Learning e AI.
Requisiti richiesti: Il candidato ideale è in possesso dei seguenti requisiti:
laurea in Data Science, Informatica, Ingegneria Informatica, Statistica, o altra scientifica ritenuta attinente;
conoscenza del Machine Learning, Deep Learning e dei principali algoritmi di clustering, classificazione e regressione;
esperienza con le principali tecniche di data wrangling, cleansing, exploration e featurization;
esperienza lavorativa di almeno 3 anni nell'implementazione di modelli di Machine Learning;
esperienza come team leader in progetti di Machine Learning e Intelligenza Artificiale;
esperienza nella messa in produzione e gestione del ciclo di vita dei modelli di Machine Learning;
conoscenza dei principali algoritmi (e.g. ordinamento, grafi, ottimizzazione lineare) e strutture dati (e.g. array, liste, code, pile, alberi binari di ricerca, tabelle hash);
esperienza nell’utilizzo dei principali linguaggi di programmazione e framework per l'implementazione di soluzioni di Intelligenza Artificiale e Machine Learning (e.g. Python, scikit-learn, TensorFlow, Keras, R, Java o Scala);
esperienza nella gestione di basi di dati relazionali (e.g. SQL Server, PostgreSQL) e non relazionali (e.g. MongoDB, ElasticSearch);
buone doti comunicative;
ottima conoscenza della lingua inglese.
Requisiti addizionali: è gradito il possesso dei seguenti requisiti:
conoscenza di tools di Data Analytics (e.g., Tableau, Qlik, Microsoft PBI);
competenze ed esperienze in ambito sviluppo software: java, python, xml, json
conoscenze di gestione ed analisi dati, database SQL e noSQL, problematiche di gestione e analisi big data
proattività, flessibilità, precisione ed autonomia organizzativa
Offriamo l’inserimento in un’azienda giovane e dinamica in costante crescita focalizzata sull'innovazione tecnologica.
Il Gruppo Consoft è un datore di lavoro che riconosce pari opportunità a tutte le condizioni personali, quali il genere, l’età, le convinzioni religiose, le disabilità, l’orientamento sessuale, l'identità di genere e l’origine etnica.
"
2.1.1.3.2,Statistici,Ingegnere gestionale o laurea in statistica,"La figura dovrà possedere obbligatoriamente le seguenti caratteristiche:
Voto minimo di laurea conseguito 105/110
Conoscenza avanzata del pacchetto Office Microsoft
Conoscenza dei principi di matematica finanziaria e di finanza aziendale
Predisposizione ad una mentalità matematica
Conoscenza lingua inglese
Ottime capacità relazionali
Disponibilità full time presso nostra sede di Benevento
Sarà coinvolta in una o più delle seguenti attività:
Analisi di processi aziendali
Sviluppo di pacchetti software gestionali
Supporto all’help desk
Supporto all’espansione dell’infrastruttura di business intelligence
La partecipazione ad un master MBA è considerato titolo preferenziale
"
2.1.1.3.2,Statistici,JUNIOR DATA SCIENTIST,"La risorsa sarà coinvolta in un percorso di crescita professionale mirato allo sviluppo di soluzioni in ambito Business Intelligence, facendo esperienza su tutti gli ambiti della gestione aziendale.
Nello specifico si occuperà di:
raccogliere ed analizzare i dati a supporto dell’elaborazione di soluzioni per clienti;
effettuare analisi ad hoc e presentare i dati in maniera chiara e precisa;
creare report automatici per il tracciamento dei dati;
programmazione in linguaggio Qlik (Qlik view e Qlik sense) e R.
Si richiede:
laurea in materie tecniche: informatica, ingegneria informatica, matematica, statistica e fisica;
buona conoscenza di R;
buona conoscenza di database relazionali e di SQL;
capacità di organizzare, analizzare e valutare grandi quantità di dati;
forte motivazione al settore della consulenza;
autonomia organizzativa, intraprendenza e creatività;
ottime capacità comunicative e relazionali.
"
2.1.1.3.2,Statistici,Biostatistician,"La posizione è rivolta a giovani e brillanti laureati in Statistica con ottima votazione o comunque con diversa formazione di studi purché con percorso post-laurea affine al ruolo ricercato. E’ preferibile esperienza anche breve ma significativa in azienda e/o all’interno Cro in ruoli analoghi.
All'interno della funzione Corporate Biostatistics & Data Management, lavorerà a stretto contatto con Physicians, CRA e i Farmacocinetisti. In affiancamento al Manager la persona sarà coinvolta nelle seguenti attività:
Disegno della Cartella Clinica elettronica (eCRF), relativa pianificazione del database (eDC);
Collaborazione alla stesura dello statistical analysis plan (SAP) in base al protocollo, incluso lo sviluppo delle “mock up tables”
programmazione in SAS di data set derivati in accordo agli standard internazionali (CDISC)
programmazione in SAS dell’analisi statistica
Le conoscenze tecniche necessarie sono:
programmazione avanzata di SAS;
padronanza della lingua inglese (scritta e parlata).
Le conoscenze tecniche gradite sono:
conoscenza di altri pacchetti di programmazione statistica;
conoscenza degli standard CDISC (i.e.: SDTM, ADAM);
conoscenza delle principali linee guida (EMA/FDA).
Completano il profilo ricercato: ottima conoscenza della lingua inglese, elevata capacità di analisi, problem solving, attitudine a lavorare in team.
"
2.1.1.3.2,Statistici,Data Scientist,"l candidato ideale è laureato o laureando in materie informatiche, scientifiche o matematiche ed ha lavorato o ha familiarità con la statistica, l'analisi, la trasformazione e la visualizzazione dei dati.

Sono rilevanti le conoscenze degli algoritmi di machine learning e deep learning, la conoscenza di linguaggi di programmazione come R e Python, l'uso di librerie o framework come NumPy, SciPy, PyTorch, TensorFlow, l'utilizzo di tool di business intelligence come Splunk o Tableau.

L’attitudine al lavoro in team è un requisito essenziale."
2.1.1.3.2,Statistici,LAUREATI IN DISCIPLINE SCIENTIFICHE/TECNICHE/STATISTICHE,"n°10 LAUREATI IN DISCIPLINE SCIENTIFICHE/TECNICHE/STATISTICHE
per formazione preassuntiva gratuita ""SOFTWARE QUALITY SPECIALIST""
Formazione: Il gruppo propone un percorso di formazione mirato a colmare il divario tra lo skill level ottenuto al termine del percorso di studi ed il livello di conoscenza d'ingresso presso una realtà aziendale operante nel settore informatico.
Sede del corso: Roma - spese di vitto e alloggio a carico di Umana per le persone fuori regione: ticket restaurant da 5 euro giornalieri, cena inclusa dalla domenica sera al giovedì sera.
Data Inizio: 26 febbraio 2020
Durata e modalità: 160 ore full time lunedì/venerdì 9-18 + 40 ore training on the job
Requisiti: laurea in Statistica, in Economia che abbiano sostenuto esami di Statistica, Ingegneria, passione per il mondo IT e lo sviluppo software
Contenuti: processi di Testing, standard ISO/IEC/IEEE 29119-1, testing nell’ambito del Ciclo di Vita dello Sviluppo, diversi livelli di test, test nel processo Agile, test statico, tecniche di testing, gestione del testing. Le risorse formate dovranno essere in grado di lavorare presso importanti clienti di Roma, occupandosi di costruire i casi di test per certificare sistemi informativi complessi.
"
2.1.1.3.2,Statistici,Neolaureato in Discipline Scientifiche,"La figura ricercata entrerà a far parte di un team fluido, distribuito su più sedi. Il candidato avrà la possibilità di confrontarsi con metodologie e tecnologie altamente avanzate e si occuperà dello sviluppo, mantenimento e supporto di un prodotto proprietario utile all'ottimizzazione della produzione.
Il candidato prescelto
Il candidato ideale è in possesso dei seguenti requisiti:
Diploma di tipo tecnico e/o Laurea in discipline scientifiche (Infomatica, matematica, statistica, fisica e affini);
forte motivazione ad intraprendere un percorso professionale nello sviluppo WEB;
ottima conoscenza della lingua inglese.
Sarà considerato un plus la conocenza delle seguenti tecnologie: .Net, ASP.NET, e C#, JavaScript, AJAX, jQuery, CSS, HTML,
Si richiede quando necessario la disponibilità a trasferte.
Cosa comprende l'offerta
Ottima opportunità di carriera.
"
2.1.1.3.2,Statistici,Data Scientist Junior,"Le attività rientrano nell'ambito delle professionalità tipiche dell'area e, quindi, spaziano dai temi di data management ai temi di data visualization, dai temi di advanced analytics ai Big Data.
Il candidato sarà coinvolto in progetti di Analytics, NLP, Machine Learning e Neural Networks; nello specifico si occuperà in base alla sua seniority di:
Acquisire contenuti di Business/Technical Understanding dai progetti in corso di realizzazione
Condurre fasi di Pre-processing dei dati
Sviluppare analisi statistiche esploratorie su ampi dataset
Partecipare alla creazione dei modelli analitici e predittivi con i gruppi di lavoro interni
Sviluppare la capacità critica di analisi dei fenomeni allo studio su dati complessi
Realizzare presentazioni, Story Telling e infografiche di qualità da condividere sia internamente che con i clienti finali
Lavorare a stretto contatto con il cliente finale per generare soluzioni rispondenti alle sue esigenze di business
Requisiti:
Laurea magistrale in una delle seguenti facoltà: Data Science, Statistica, Ingegneria, Matematica, Economia, Fisica
Esperienza di base di Statistical Data Mining, Machine Learning, e relativi tools (Python IDE, Jupyter notebook, R/RStudio, SAS, etc…)
Conoscenza e utilizzo del linguaggio di programmazione Python e relative librerie fondamentali
Capacità di lavorare in team
Elevata capacità di sintesi e comunicativa
Forte motivazione verso ambiti di Data Science e Digital Innovation
Inglese fluente (B1)
Competenze Preferenziali:
Specializzazioni in ambito di Data Science, Statistics e AI
Conoscenza ed esperienza di SAS Enterprise Miner o ADOBE Analytics o GOOGLE Analytics o MSFT Azure (Machine Learning) o AWS (Machine Learning)
Conoscenza e utilizzo dei linguaggi di programmazione SQL, R, SAS, Scala
Conoscenza DB relazionali (MySQL, SQL Server, PostgreSQL), ambienti Big Data (Hadoop, Spark, Elastic Search) e No-SQL (Mongo DB, Cassandra, HBase)

Completano il profilo: capacità di relazionarsi con il cliente a diversi livelli, propensione al raggiungimento degli obiettivi, entusiasmo e attitudine a lavorare in un contesto in continuo cambiamento
"
2.1.1.3.2,Statistici, consulente nell'analisi dei dati,"Per un' importante azienda multinazionale di consulenza, tra le big del settore a livello mondiale, siamo alla ricerca di :

Neolaureati in Statistica, Matematica, Ingegneria o discipline economiche

Le figure ricopriranno il ruolo di consulente nell'analisi dei dati su diversi progetti, potranno sviluppare ampie conoscenze tecnologiche insieme ad una visione di processo rispetto alle tematiche trattate.

Si propone un corso di formazione della durata di 240 ore al fine di implementare nei candidati competenze relative alla modellazione dei dati, alla teoria dei ""dati complessi"" e alle tecniche più evolute di ""Data Engineering"", saranno aggiunte importanti conoscenze relative a alcuni linguaggi/framework correlati al mondo dell'Industria 4.0 e della business intelligence avanzata.
I percorsi formativi pre-assuntivi saranno svolti presso le sedi Umana di Milano e Roma. Per i partecipanti da fuori sede, saranno spesati vitto e alloggio per l'intera durata del periodo formativo.

I candidati ideali sono dei brillanti laureati in discipline informatiche, in discipline tecnico/scientifiche (ingegneria, matematica, fisica, chimica ecc.) e laureati in discipline statistiche o economiche ""quantitative"" con una conoscenza di base di linguaggi di programmazione ad oggetti (es. Java e/o C++).

Luogo di lavoro : Milano/ Roma

E' richiesta la conoscenza della lingua inglese.

Si offre iniziale contratto a tempo determinato di 4 mesi in somministrazione a scopo assunzione diretto in azienda."
2.1.1.3.2,Statistici,Actuarial Pricing Junior,"La risorsa ricercata avrà il compito di supportare l'area Pricing nella creazione dei modelli matematici, attuariali e statistici e degli strumenti di simulazione che sono alla base della determinazione di una corretta tariffazione dei rischi assunti dalla Compagnia.

In particolare dovrà occuparsi di:

* Supportare l'area nell'analisi univariata e multivariata dei principali indicatori tecnici tariffari e dei trend di mercato, con conseguente elaborazione di scenari di impatto.

* Contribuire alla reportistica non standardizzata ad uso interno e a supporto del processo decisionale del top management di Compagnia.

* Contribuire allo sviluppo di modelli matematici, statistici ed attuariali utilizzati per determinare la tariffa di Compagnia. * Fornire supporto analitico ai progetti aziendali con impatti sull'area attuariale.

Profilo del Candidato

Il/la candidato/a ricercato/a possiede i seguenti requisiti:

* Laurea in Matematica, Fisica, Scienze Statistiche, Scienze Statistiche Attuariali, Ingegneria Matematica, Data Science.

* Conoscenza di MS Office, in particolare utilizzo avanzato di Excel. * Preferibile conoscenza di SAS-DB/DHW-SQL/pISQL

* Preferibile conoscenza di software di modellistica ed ottimizzazione (es. Emblem)

Completano il profilo: Ottima capacità di analisi, forte orientamento agli obiettivi, buona autonomia, buone capacità relazionali e di lavoro di squadra, buone capacità organizzative, provata esperienza nella capacità di conseguire risultati di successo in termini di qualità e rispetto dei tempi."
2.1.1.3.2,Statistici,Junior – Actuarial,"Sarai coinvolto nell’aiutare i leader di mercato nei servizi attuariali alle impresedi assicurazione, che supportiamo nelle iniziative di trasformazione e cambiamento.
Potrai sviluppare le tue conoscenze all’interno delle seguenti aree:
Sviluppo di metodologie, strumenti e processi a supporto dell’innovazione di prodotto, della gestione dei rischi e del capitale, del financial reporting e delle operazioni di M&A.
Sviluppo di competenze nelle aree robotics, machine learning e data science, che dedichiamo allo sviluppo di processi innovativi. Sviluppo di competenze nelle aree Solvency II, IFRS 17, ma anche in attività di supporto all’audit, quali revisioni Local Gaap e SII.
YOUR RESPONSIBILITIES
Il tuo ruolo sarà incentrato sull’ esecuzione proattiva e responsabile delle attività progettuali nelle quali sarai coinvolto. Con la supervisione dei colleghi più esperti, sarai responsabile per la qualità del tuo lavoro e del suo pieno allineamento alle priorità, agli obiettivi e alle esigenze dei clienti, impegnandoti costantemente nel perseguimento della nostra ambizione“make an impact that matters”
Per una piena copertura del tuo ruolo, dovrai in particolare essere in grado di:
• Raccogliere ed analizzare i dati a supporto dell’elaborazione di soluzioni per i clienti;
• Collaborare con il team di progetto in modo proattivo e collaborativo
• Comunicare in modo chiaro e strutturato idee e proposte;
• Essere costantemente focalizzato sul risultato, sulla responsabilità individuale e sulla qualità del lavoro;
• Possedere un forte orientamento al team working, alla collaborazione e al supporto dei colleghi, mantenendo sempre un approccio positivo alle situazioni
OUR REQUIREMENTS
La ricerca è rivolta a neo-laureati a pieni voti o laureandi in Scienze Statistiche ed Attuariali o percorsi di laurea specialistica che consentono l’accesso all’esame per l’iscrizione all’Albo degli attuari. La ricerca è altresì rivolta a laureati in Statistica, Matematica o Fisica, Ingegneria con percorso statistico o finanziario che desiderino intraprendere un percorso professionale attinente alla professione di attuario. La frequenza di un Master di secondo livello può costituire un titolo preferenziale."
2.1.1.3.2,Statistici,BUSINESS ANALYST,"Principali attività:
produrre e consultare tempestivamente i sistemi di reportistica a disposizione
elaborare i dati ricavati dai report in logica funzionale alle decisioni e strategie da programmare
analizzare l’andamento delle vendite sotto il profilo degli indicatori di performance allertando i responsabili commerciali delle diverse aree quando necessitano interventi sulla strategia
monitorare costantemente lo stato del monte merci con indicazioni specifiche rispetto a categorie, articoli e referenze
supportare l’attività dei responsabili del Visual Merchandising
analizzare lo sviluppo e l’implementazione di nuovi sistemi informatici e reportistica a supporto dell’area commerciale

REQUISITI ESSENZIALI
esperienza precedente in ruoli similari, minimo 1 anno
conoscenza di Excel livello avanzato
buone capacità di analisi
- conoscenza reportistica SAP - BI
laurea triennale e/o specialistica, preferibilmente in: Statistica, Matematica o Economia
residenza provincia posto vacante/disponibilità a trasferimento
disponibilità a trasferte periodiche
conoscenza della lingua inglese livello minimo richiesto B2"
2.1.1.3.2,Statistici,Data Warehouse Engineer,"Per importante realtà bancaria italiana, leader nel settore di riferimento, selezioniamo un Data Warehouse Engineer.

La risorsa, a riporto del Responsabile IT, si occuperà di:
curare la progettazione, manutenzione e ottimizzazione delle soluzioni di Data Warehouse, definendone le specifiche funzionali, in coerenza con i requisiti di business raccolti da UO IT Strategy & Control
Gestire i processi di Extraction, Transformation e Loading dei dati
Curare la valutazione degli impatti dei requisiti IT, raccolti dal Demand, sulla soluzione di Data Warehouse
Definisce la metodologia di sviluppo, progettazione dell’architettura dell’applicazione,
Disegna i moduli e predispone la documentazione di progetto

.

Competenze richieste:
Conoscenze richieste:
Tecniche di progettazione di sistemi di reporting e cruscotti aziendali
Conoscenza del prodotto Qlik-view
Tecnologia e logiche di costruzione e gestione dei database
competenza su DBMS Microsoft SQL Server e su Transact-SQL
Strumenti OLAP
Linguaggi di programmazione VB, C#, ASP.NET, HTML 5, CSS
Metalinguaggio XML
Tecniche e metodologie di Data Mining
competenza nei processi ETL ed in Integration Services Packages (SSIS)
Analisi e produzione delle specifiche funzionali
Data Governance
Sistemi di Business Intelligence
Normativa GDPR

Completano il profilo:
Diploma di laurea (triennale e/o specialistica) in discipline scientifiche (ingegneria informatica, ingegneria gestionale, informatica, matematica, fisica, statistica).
Certificazioni MS SQL. Altre certificazioni specifiche su linguaggi di programmazione saranno considerate un plus.
Almeno 2/3 anni di esperienza, maturati in Società di Consulenza o realtà strutturate in ambito bancario.
Buona conoscenza della lingua inglese."
2.1.1.3.2,Statistici,Business Analyst,"Ricerchiamo un Business Analyst / analista funzionale che si occuperà delle seguenti mansioni.

Principali attività
Raccolta di requisiti e specifiche tecniche
Redazione di documentazione di analisi
Validazione dei requisiti e dei risultati eseguendo test di funzionalità delle soluzioni implementate dal team di sviluppo
Supportare il Service Manager a livello tecnico nella gestione dell'HelpDesk aziendale
Monitorare assieme al Project Manager lo sviluppo dei progetti all'interno dei team di sviluppo
Garantire il corretto utilizzo dei sistemi aziendali
Requisiti essenziali
Laurea triennale e/o specialistica, in Ingegneria (preferibilmente gestionale, statistica o indirizzo informatico)
Ottime capacità logiche di analisi e di sintesi
Buona attitudine al lavoro in gruppo
Predisposizione al lavoro in team in contesti dinamici ed in continua evoluzione
Capacità di gestione progetti in autonomia
Resistenza allo stress
Capacità di lavorare per obiettivi
Conoscenza della lingua inglese parlata e scritta
La conoscenza del gestionale AS400 e del dominio applicativo relativo al mercato del turismo costituirà un plus."
2.1.1.3.2,Statistici,Junior Analytics Developer,"Sysdata S.p.A. per ampliamento organico, ricerca per la sede di Bologna, un Junior Analytics Developer

La risorsa verrà inserita all’interno del Team Sysdata presso un nostro cliente nel dipartimento Design Experience & Analytics.

La risorsa si occuperà di:
Identificazione degli obiettivi dell’analisi dei dati;

Raccolta dati da fonti interne ed esterne;

Organizzazione e strutturazione dei dati;

Ripulitura database per scartare i dati irrilevanti;

Rilevazione e correzione di eventuali errori nei sistemi di raccolta e conservazione dei dati;

Analisi dei dati e individuazione di schemi e trend;

Creazione report e documenti con i risultati delle analisi da presentare.

Requisiti:
Ci piacerebbe entrare in contatto con Candidati che abbiano le seguenti caratteristiche:

Laurea Triennale e/o specialista preferibilmente in materie scientifiche (Informatica, Statistica, Matematica o altro titolo quantitativo rilevante);

Conoscenza JavaScript/JQuery/Bootstrap/TypeScript/HTML5;

Conoscenza dei linguaggi di programmazione (SQL, NoSQL, Python, R);

Conoscenza dei DBMS (DataBase Management Systems);

Nice to Have:
Conoscenza di Angular+;

Conoscenza di strumenti di Analytics (Firebase, Google Analytics, ecc.);"
2.1.1.3.2,Statistici,Analista Funzionale IT Junior - ambito bancario,"Analista Funzionale Junior

La risorsa verrà inserita nella Business Unit di Business Intelligence e Data Governance svolgendo attività di analisi funzionale all’interno del team che si occupa di analisi funzionale su Banca dati, con un coinvolgimento trasversale su più progetti, anche internazionali, e allocazione presso un importante cliente in ambito bancario. Requisiti:
•     Laurea Triennale o Magistrale in materie tecnico scientifiche (Ingegneria Gestionale, Management, Economia e Statistica)
•     Gradita conoscenza e/o competenza tecnica su ERWIN e DATASTAGE
•     Gradita pregressa esperienza nel medesimo ruolo di 6 mesi/ 1 anno. Si offre: Assunzione diretta a tempo indeterminate, con retribuzione commisurata alla pregressa esperienza della singola risorsa"
2.1.1.3.2,Statistici,Assistente statistico,"Randstad Italia, filiale di Torino Lancia, ricerca statistician support per un ente pubblico che si occupa di istruzione, formazione professionale e mercato del lavoro.

responsabilità
La risorsa si occuperà di raccolta, revisione e aggiornamento di dati nel settore dell'istruzione e del mercato del lavoro, fornirà supporto nella gestione del database dell’ente tramite inserimento, analisi e trasmissione di dati e darà consulenza tecnica ai progetti per quanto riguarda la parte statistica. Si offre un contratto in somministrazione iniziale di due mesi con possibilità di proroga.

Orario di lavoro: full time.

Sede di lavoro: Torino.

competenze Requisiti richiesti:

- laurea triennale in economia, statistica, econometria o scienze sociali con una forte componente di metodologia quantitativa;

- abilità statistiche comprovate da background accademici o dall'esperienza lavorativa;

- esperienza di almeno un anno nell’analisi di dati;

- comprovata competenza nell’utilizzo di excel; - conoscenza di pacchetti statistici per l’analisi e la gestione di dati (STATA, SPSS, R,…);

- familiarità con strumenti di raccolta e gestione dei dati ed esperienza con sondaggi su larga scala;

- ottima conoscenza della lingua inglese (C1) e conoscenza del francese o del russo (B2).

Completano il profilo buone doti comunicative, capacità di problem solving e predisposizione al lavoro in equipe."
2.1.1.3.2,Statistici,CONSULENTE DELL’ADVANCED ANALYTICS E DATA SCIENCE,"Key Partner ricerca un figura che lavorerà nella divisione Advanced Analytics e Data Science con metodi quantitativi statistici, estrazione ed analisi di dati descrittivi e predittivi, simulazioni ed ottimizzazioni. Utilizzerà strumenti informatici tra i quali TIBCO Spotfire e similari. Key Partner è da sempre impegnata a considerare lo stage come strumento che faciliti l’ingresso nel mondo del lavoro. Dal primo giorno potrai conoscere il mondo KP, con i suoi prodotti e le sue soluzioni e respirare il clima aziendale di un’azienda giovane e innovativa, dove avrai l’opportunità di partecipare attivamente al raggiungimento degli obiettivi di business e potrai fare tu stesso la differenza. Avrai l’opportunità di vivere l’esperienza di una realtà che opera in tutta Europa, grazie a un percorso di crescita che si articolerà in training on the job, corsi di formazione tecnica e di soft skills e sistemi di rewarding meritocratici.

Requisiti richiesti(persona esperta):

Conoscenza ed un minimo di esperienza su linguaggi quali R, Matlab o similari;
Predisposizione ad imparare nuovi linguaggi, tecnologie e strumenti software;
Predisposizione a lavorare per obiettivo con brevi e frequenti spostamenti ove necessario;
Titoli preferenziali: (sia triennale che specialistica) Preferibile laurea in Statistica o similare, oppure Laurea in Matematica, Fisica o Informatica con esperienza sui temi descritti.

Lingue Straniere richieste: Inglese

Tipo di contratto: Contratto di stage finalizzato alla formazione ed assunzione con contratto a tempo indeterminato.

Durata: 3 mesi.

Compenso: 800 netti mensili."
2.1.1.3.2,Statistici,Analista Junior,"Posizione:
Sysdata per ampliamento interno dell'organico è alla ricerca di un Analista Junior per la sede di Bologna.

La figura verrà inserita all'interno del Team Sysdata lavorando su progetti innovativi e in un ambiente giovane e stimolante.

Lo Stage sarà Retribuito con Finalità di Assunzione.

Requisiti:
Ci piacerebbe entrare in contatto con Talenti che hanno queste caratteristiche:

Laurea Triennale e/o Magistrale in Ing. Informatica/Informatica/Statistica/Matematica;

Passione verso il mondo dell'analisi dei dati/BI;

Proattività e curiosità nell'imparare;

Lavoro in Team;

Nice to have:
Conoscenza anche di base dei Servizi Microsoft ""Power BI""

Conoscenza anche di base di ""Reporting Service"" di Microsoft"
2.1.1.3.2,Statistici,Marketing Data Analyst ,"La risorsa, riportando direttamente al Responsabile Marketing Legal Software di Wolters Kluwer Italia, potrà intraprendere un percorso formativo strutturato su temi di Data Analytics in ambito marketing contribuendo così allo sviluppo e all’implementazione del SIM (Sistema Informativo Marketing) mediante:

Estrazione, elaborazione, riorganizzazione e strutturazione dei dati interni legati a prodotti, campagne di prodotto, clienti (prospect e CB) e dati esterni (analisi di mercato, studi, ricerche, survey, …);
Implementazione e gestione di dashboard sintetiche sulla performance dei prodotti: vendite, campagne di marketing, churn rate , andamento base clienti, survey NPS, sentiment, costruzione metriche PAR/BAR e altre cadenzate nell’ambito del Buyer’s Journey;
Partecipazione a indagini e survey qualitative sul target liberi professionisti (Avvocati, Notai), anche mediante rilevazione dati con metodologia CATI o CAWI.
PROFILO IDEALE:

Laurea triennale in Statistica, Matematica, Economia, Ingegneria;
Capacità di analisi ed efficientamento del flusso informatico di provenienza dei dati;
Forte capacità analitica finalizzata alla risoluzione di problemi e situazioni multiformi;
Capacità di individuare soluzioni automatizzate che indirizzino decisioni e prevengano tendenze di mercato;;
Forte motivazione ed interesse al Marketing analitico e passione per i dati (small e big data, analisi qualitative e quantitative), tendenza all’innovazione ed all'aggiornamento continuo;
Attitudine al lavoro per obiettivi in un contesto con ritmi lavorativi sostenuti;
Utilizzo avanzato di Excel sarà considerato requisito fondamentale, è preferibile la conoscenza di gestione di database e software di Visual Analytics (Tableau, PowerBI, Qlik)."
2.1.1.3.2,Statistici,SALES ANALYST JUNIOR,"Il/la candidato/a dovrà occuparsi di elaborazione di statistiche relative al reparto commerciale, con particolare attenzione al pricing ed all’occupazione delle macchine a nolo. Effettuerà analisi periodiche riguardanti i dati delle vendite (per canale, servizio ed area geografica), in vista dell’ottimizzazione delle attività della rete vendita.


La sede di lavoro sarà Montichiari (BS), l’orario full time, dal lunedì al venerdì 08.30-12.30 / 14.00-18.00.

Si prospettano un contratto a tempo indeterminato e possibilità di sviluppo della mansione, con costante accrescimento delle competenze in contesto di lavoro internazionale, dinamico e stimolante, in realtà aziendale strutturata ed in espansione.


Caratteristiche richieste:
laurea almeno triennale in materie economiche/statistiche;
esperienza di almeno 2 anni nel ruolo di Sales Analyst o analoga mansione;
elevato interesse per l’ambito statistico.
preferibile conoscenza di POWER PIVOT e/o degli strumenti di business intelligence, di eventuali altri applicativi di analisi commerciale;
ottima pratica di Excel e Power Point;
buona conoscenza della lingua inglese"
2.1.1.3.2,Statistici,Analista Business Intelligence,"Requisiti
Il candidato ideale ha conseguito la Laurea Triennale o Magistrale in Ingegneria Informatica, Scienze Informatiche, Ingegneria Gestionale e Informatica, Matematica, Statistica e affini. Costituisce titolo preferenziale aver lavorato in società di consulenza.

Skills/Competenze
È richiesta la conoscenza delle seguenti tecnologie:
• Qlik view
• Qlik sense
• PLSQL
• Tool di BI
È richiesta competenza in modellazione dei dati e costruzione di cruscotti di BI.

Completano il profilo le seguenti caratteristiche:
• Apertura a nuove tecnologie
• Forti capacità analitiche e di comunicazione
• Orientamento al risultato e flessibilità
• Capacità di lavorare in team
• Buona conoscenza della lingua inglese"
2.1.1.3.2,Statistici,Marketing Analyst,"EDILIZIACROBATICA Spa, l’azienda leader in Italia nel campo dell’edilizia su corda, che conta oltre 800 collaboratori e in forte crescita sul territorio, ricerca per la sede della direzionale di Genova una risorsa da inserire all’interno dell’Ufficio Marketing.
È previsto uno stage formativo di n.6 mesi.

Cerchiamo una risorsa che desideri svolgere un percorso formativo nel dipartimento Marketing entrando in un team giovane e dinamico.
La risorsa si occuperà di supportare le attività del dipartimento marketing nella raccolta e analisi dei dati relativi al database clienti e al settore di riferimento in modo continuativo, confrontandosi periodicamente con il management ed i responsabili operativi e assicurando la redazione e presentazione di report analitici (frequenza giornaliera, settimanale, mensile, annuale) con valutazione della performance e dei trend.
Supporterà il Marketing Department nella definizione e analisi di ricerche di mercato, indagini dei competitors e sondaggi sulle abitudini di acquisto e le caratteristiche di target in relazione a campagne di advertising specifiche.
Si occuperà di avviare le trattative commerciali con le concessionarie pubblicitarie e analizzare le diverse tipologie di trasmissioni radiofoniche e televisive, i mezzi di comunicazione su carta stampata e web, definendo il piano media dell’azienda. REQUISITI
• Laurea triennale in Statistica, Matematica o similari;
• Ottima conoscenza del pacchetto Office, in particolare di Excel
• Conoscenze dei metodi di ricerca, di rilevazione e di analisi dei dati, di strumenti analitici
• Conoscenze significative di statistica, applicata sia alle indagini di mercato ed ai processi di campionamento, che allo studio di variabili psicologiche e sociologiche;
• Affinità con gli strumenti di misurazioni ed analisi dei digitali (Google e Social Network);
• Autonomia organizzativa;
• Attitudine al problem solving
• Ottima conoscenza dell'Inglese. Lingua francese è considerato un plus."
